범죄대분류,범죄중분류,요일,발생건수
강력범죄,강간,일,869
강력범죄,강간,월,686
강력범죄,강간,화,734
강력범죄,강간,수,719
강력범죄,강간,목,682
강력범죄,강간,금,722
강력범죄,강간,토,898
강력범죄,강도,일,111
강력범죄,강도,월,113
강력범죄,강도,화,116
강력범죄,강도,수,105
강력범죄,강도,목,124
강력범죄,강도,금,121
강력범죄,강도,토,108
강력범죄,살인기수,일,38
강력범죄,살인기수,월,45
강력범죄,살인기수,화,48
강력범죄,살인기수,수,40
강력범죄,살인기수,목,37
강력범죄,살인기수,금,49
강력범죄,살인기수,토,40
강력범죄,살인미수등,일,71
강력범죄,살인미수등,월,70
강력범죄,살인미수등,화,68
강력범죄,살인미수등,수,62
강력범죄,살인미수등,목,73
강력범죄,살인미수등,금,85
강력범죄,살인미수등,토,53
마약범죄,마약,일,789
마약범죄,마약,월,1278
마약범죄,마약,화,1352
마약범죄,마약,수,1219
마약범죄,마약,목,1195
마약범죄,마약,금,1272
마약범죄,마약,토,933
절도범죄,절도,일,25466
절도범죄,절도,월,26239
절도범죄,절도,화,25671
절도범죄,절도,수,26061
절도범죄,절도,목,26098
절도범죄,절도,금,28156
절도범죄,절도,토,29266
폭력범죄,상해,일,5693
폭력범죄,상해,월,4908
폭력범죄,상해,화,5063
폭력범죄,상해,수,5038
폭력범죄,상해,목,5110
폭력범죄,상해,금,5270
폭력범죄,상해,토,5776
폭력범죄,폭행,일,25865
폭력범죄,폭행,월,19966
폭력범죄,폭행,화,20766
폭력범죄,폭행,수,20981
폭력범죄,폭행,목,21080
폭력범죄,폭행,금,22045
폭력범죄,폭행,토,26494
폭력범죄,협박,일,2886
폭력범죄,협박,월,3013
폭력범죄,협박,화,3039
폭력범죄,협박,수,3072
폭력범죄,협박,목,2961
폭력범죄,협박,금,3040
폭력범죄,협박,토,3011
