범죄대분류,범죄중분류,일,월,화,수,목,금,토
강력범죄,살인기수,38,45,48,40,37,49,40
강력범죄,살인미수등,71,70,68,62,73,85,53
강력범죄,강도,111,113,116,105,124,121,108
강력범죄,강간,869,686,734,719,682,722,898
강력범죄,유사강간,145,99,109,92,89,112,136
강력범죄,강제추행,2580,2272,2306,2358,2231,2542,2831
강력범죄,기타 강간/강제추행등,58,53,45,49,39,43,38
강력범죄,방화,209,181,181,209,170,206,206
절도범죄,절도범죄,25466,26239,25671,26061,26098,28156,29266
폭력범죄,상해,5693,4908,5063,5038,5110,5270,5776
폭력범죄,폭행,25865,19966,20766,20981,21080,22045,26494
폭력범죄,체포/감금,180,189,170,171,169,196,168
폭력범죄,협박,2886,3013,3039,3072,2961,3040,3011
폭력범죄,약취/유인,27,40,41,34,32,40,36
폭력범죄,폭력행위등,1544,1126,1100,1086,1001,1063,1430
폭력범죄,공갈,483,818,740,757,744,756,549
폭력범죄,손괴,8617,7974,7634,7766,7989,8788,9378
마약범죄,마약범죄,789,1278,1352,1219,1195,1272,933
